Player,Caliber,Instagram Followers,Twitter Followers,Reach (Combined Following),Brand,Dates,Type of Activation,Distribution,Additional Notes,Player Fee
Davion Mitchell,Rising Star,"193,000","21.5k","214,500",Head & Shoulders,5/9/22,"1 Instagram Post",Instagram,"Never Not Working Campaign","$10,000"
Ayo Dosunmu,Rising Star,"239,000","66,2k","305,200",Head & Shoulders,5/8/22,"1 Instagram Post",Instagram,"Never Not Working Campaign","$10,000"
Tyus Jones,Rising Star,"379,000","161.7k","540,700",Head & Shoulders,5/8/22,"1 Instagram Post",Instagram,"Never Not Working Campaign","$15,000"
Seth Curry,Vet,"2.1m","352k","2,452,000",Mountain Dew,"(date not listed)","1 Quote Retweet",Twitter,"Dew Zone Sweeps","$10,000"
Pat Connaughton,Local Hero,"185k","81.8k","266,800",ABI,5/26/22,"1 Retweet",Twitter,"ULTRA Championship Bottles","$10,000"
Evan Fournier,Vet,"284k","332.8k","616,800",ABI,5/26/22,"1 Retweet",Twitter,"ULTRA Championship Bottles","$10,000"
Bogdan Bogdavonic,Vet,"622k","290.6k","912,600",ABI,5/27/22,"1 Retweet",Twitter,"ULTRA Championship Bottles","$10,000"
Dwight Howard,Vet,"3m","6.3m","9,300,000",ABI,5/26/22,"1 Retweet",Twitter,"ULTRA Championship Bottles","$30,000"
Clint Capela,Vet,"311k","94.6k","405,600",AT&T,5/26/22,"1 Quote Retweet",Twitter,"AT&T Dunk Donation","$15,000"
Anfernee Simons,Rising Star,"209k","36.3k","245,300",AT&T,5/26/22,"1 Quote Retweet",Twitter,"AT&T Dunk Donation","$15,000"
Pat Connaughton,Local Hero,"185k","81.8k","266,800",AT&T,5/26/22,"1 Quote Retweet",Twitter,"AT&T Dunk Donation","$15,000"
DeMarcus Cousins,Vet,"3.1m","1.2m","5,300,000",AT&T,5/26/22,"1 Quote Retweet",Twitter,"AT&T Dunk Donation","$20,000"
Alex Caruso,Local Hero,"1.6m","375.1k","1,975,100",ABI,6/6/22,"1 Native Tweet",Twitter,"ULTRA Championship Bottles","$15,000"
