name,following,followers
Nikola Topić,627,81000
Obi Toppin,983,380000
Karl-Anthony Towns,592,4000000
Nolan Traore,503,27000
Gary Trent Jr.,587,236000
Oscar Tshiebwe,512,92000
Myles Turner,719,435000
Jaylon Tyson,3506,43000
Stanley Umude,1115,14000
Jonas Valančiūnas,839,277000
Fred VanVleet,780,630000
Jarred Vanderbilt,851,496000
Devin Vassell,809,135000
Gabe Vincent,1363,175000
Tristan Vukcevic,1023,80000
Nikola Vučević,114,229
Dean Wade,1807,46000
Franz Wagner,737,318000
Moritz Wagner,1210,312000
Jabari Walker,651,35000
Jarace Walker,238,94000
Cason Wallace,1053,114000
Keaton Wallace,1599,833
Kenrich Williams,29,8037
Mark Williams,574,133000
Nate Williams,1085,6911
Patrick Williams,2934,3645
Ziaire Williams,891,129000
Robert Williams III,1693,218000
Vince Williams Jr.,1093,636
Zion Williamson,518,5000000
Jalen Wilson,345,99000
Danny Wolf,180,209000
Guerschon Yabusele,633,182000
Yang Hansen,76,199000
Jahmir Young,1129,19000
Trae Young,489,5000000
Rocco Zikarsky,1015,27000
Ivica Zubac,475,182000
Tristan da Silva,1266,73000
Sidy Cissoko,984,33000
Jaylen Clark,1944,2257
Brandon Clarke,696,100000
Jordan Clarkson,1517,2000000
Jerami Grant,791,210000
AJ Green,844,415000
Draymond Green,1182,4000000
